_id,Time_Stamp,Device_ID,AC1,Current,voltage,Power_Factor,Real_Power,room_temp,Compressor_temp,External_temp,Current_mode_of_AC,Auto,Swing_dir,timing_clock_of_ac,AC_fan,AC_brand,Humidity,_updated,_created,_etag,_links,parent,collection
ObjectId(5daeebef620444f3d7c9e103),2019-10-22T11:31:12.926279+00:00,011019,,0.17,233.65,0.04,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-22T11:45:51.000Z,2019-10-22T11:45:51.000Z,b868ad3f4395dfb5455cd330bb577f91dbf70743,,,
ObjectId(5daeec41620444f3d7c9e104),2019-10-22T11:33:13.304945+00:00,011019,,0.15,233.96,0.19,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-22T11:47:13.000Z,2019-10-22T11:47:13.000Z,c0929a8082395d1ff70825f3e647f1b58220d3a6,,,
ObjectId(5daeec4c620444f3d7c9e105),2019-10-22T11:35:13.724667+00:00,011019,,0.16,233.66,0.13,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-22T11:47:24.000Z,2019-10-22T11:47:24.000Z,0ce188141311a8268166d79b6376748a71ba7fd9,,,
ObjectId(5daeec59620444f3d7c9e106),2019-10-22T11:37:14.145348+00:00,011019,,0.16,233.94,0.13,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-22T11:47:37.000Z,2019-10-22T11:47:37.000Z,fcae54f6e07b5c0cce09bd661b9c054cdae5c8e6,,,
ObjectId(5daeec68620444f3d7c9e107),2019-10-22T11:39:14.541550+00:00,011019,,0.16,233.78,0.12,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-22T11:47:52.000Z,2019-10-22T11:47:52.000Z,c48f9ffe4e737b14ab615507c238a6e0165df3ef,,,
ObjectId(5daf1861620444f3d7c9e108),2019-10-22T14:31:50.184528+00:00,011019,,0.16,232.7,0.13,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-22T14:55:29.000Z,2019-10-22T14:55:29.000Z,33fa1c1dc45252ccd66bf2650470febb802caa91,,,
ObjectId(5dafdd6d620444f3d7c9e109),2019-10-22T18:34:40.478006+00:00,011019,,0.17,232.76,0.09,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:56:13.000Z,2019-10-23T04:56:13.000Z,6c3b44ba64e3ef81c9ea12088db8f50286f5faf5,,,
ObjectId(5dafdd73620444f3d7c9e10a),2019-10-22T18:36:40.684479+00:00,011019,,0.15,232.61,0.21,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:56:19.000Z,2019-10-23T04:56:19.000Z,76ab61d2d983260659f825a3ff5e6232e1709bb7,,,
ObjectId(5dafdd81620444f3d7c9e10b),2019-10-22T18:38:41.104583+00:00,011019,,0.15,233.75,0.11,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:56:33.000Z,2019-10-23T04:56:33.000Z,6a930d6ba1cb9e2424d215d5bc254ee332c53349,,,
ObjectId(5dafdd8d620444f3d7c9e10c),2019-10-22T18:40:41.587783+00:00,011019,,0.15,232.7,0.19,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:56:45.000Z,2019-10-23T04:56:45.000Z,dc7fb9d0deda7929f98351bd21def098e8b9d8a3,,,
ObjectId(5dafdd9b620444f3d7c9e10d),2019-10-22T18:42:41.996365+00:00,011019,,0.16,233.63,0.1,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:56:59.000Z,2019-10-23T04:56:59.000Z,b95d5b1d147e7abef2c9ce43898c66effce86ebd,,,
ObjectId(5dafdda8620444f3d7c9e10e),2019-10-22T18:44:42.361698+00:00,011019,,0.14,232.58,0.13,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:57:12.000Z,2019-10-23T04:57:12.000Z,2f193e2c68741ff286b24f4ba7a29e86e3ec399e,,,
ObjectId(5dafddb5620444f3d7c9e10f),2019-10-22T18:46:42.833529+00:00,011019,,0.16,233.85,0.16,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:57:25.000Z,2019-10-23T04:57:25.000Z,5b215e035513576e1e4cc108b1158d03f721ac3a,,,
ObjectId(5dafddc1620444f3d7c9e110),2019-10-22T18:48:43.177670+00:00,011019,,0.18,233.69,0.12,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:57:37.000Z,2019-10-23T04:57:37.000Z,b411e04e276dab792c9ccd9db775b047eccb30df,,,
ObjectId(5dafddce620444f3d7c9e111),2019-10-22T18:50:43.605234+00:00,011019,,0.16,232.75,0.1,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:57:50.000Z,2019-10-23T04:57:50.000Z,0749161cd51a736eaf3714df7ef7f2099b96cf1c,,,
ObjectId(5dafdddc620444f3d7c9e112),2019-10-22T18:52:44.115905+00:00,011019,,0.17,233.67,0.07,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:58:04.000Z,2019-10-23T04:58:04.000Z,7c91dbf17a7d732277bc0547fb2193cb2443b49b,,,
ObjectId(5dafdde8620444f3d7c9e113),2019-10-22T18:54:44.442020+00:00,011019,,0.16,232.48,0.19,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:58:16.000Z,2019-10-23T04:58:16.000Z,c3e8969c8f14ed980f835e1d6fbc36c8f646a744,,,
ObjectId(5dafddf6620444f3d7c9e114),2019-10-22T18:56:44.869973+00:00,011019,,0.14,232.75,0.08,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:58:30.000Z,2019-10-23T04:58:30.000Z,35fdeba14cddb1ab95c3290453312d5fd24ae56b,,,
ObjectId(5dafde03620444f3d7c9e115),2019-10-22T18:58:45.352287+00:00,011019,,0.15,233.83,0.1,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:58:43.000Z,2019-10-23T04:58:43.000Z,eb3f72d28071a23413e71e1a608e3b50509903c4,,,
ObjectId(5dafde10620444f3d7c9e116),2019-10-22T17:30:27.042401+00:00,011019,,0.17,234.76,0.13,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T04:58:56.000Z,2019-10-23T04:58:56.000Z,48e25f19857779362e6312c23e680eaf9efa39fb,,,
ObjectId(5dafdf1e620444f3d7c9e117),2019-10-22T17:32:27.469448+00:00,011019,,0.16,233.7,0.11,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T05:03:26.000Z,2019-10-23T05:03:26.000Z,e9f2c03c5c5b2976b52efd935adc0a3e3241ee97,,,
ObjectId(5dafdf2d620444f3d7c9e118),2019-10-22T17:34:27.876077+00:00,011019,,0.15,233.74,0.15,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T05:03:41.000Z,2019-10-23T05:03:41.000Z,7e963e7b13f31b30e8017b8682c24907d2952be4,,,
ObjectId(5db03481620444f3d7c9e119),2019-10-23T10:49:23.711541+00:00,011019,,0.25,241.64,0.58,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:07:45.000Z,2019-10-23T11:07:45.000Z,42188f4152302d8a156fd38233321bbfa037e901,,,
ObjectId(5db03813620444f3d7c9e11a),2019-10-23T10:51:19.499656+00:00,011019,,0.24,238.84,0.59,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:22:59.000Z,2019-10-23T11:22:59.000Z,9fc432dd8dd62886648b7fb3be02c186f267fb2e,,,
ObjectId(5db03894620444f3d7c9e11b),2019-10-23T10:53:18.922310+00:00,011019,,0.26,240.32,0.52,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:25:08.000Z,2019-10-23T11:25:08.000Z,04beee14b3baf7a024d0cd593ad4a996e26f266b,,,
ObjectId(5db03916620444f3d7c9e11c),2019-10-23T11:00:43.065316+00:00,011019,,0.29,242.8,0.53,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:27:18.000Z,2019-10-23T11:27:18.000Z,d595152c63af75c41a4003dcccdb1876acd6d762,,,
ObjectId(5db03998620444f3d7c9e11d),2019-10-23T11:02:43.517077+00:00,011019,,0.25,239.93,0.49,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:29:28.000Z,2019-10-23T11:29:28.000Z,5808053cb1579b3bcc3d7c96c4a94131ecb2a0c4,,,
ObjectId(5db03a1a620444f3d7c9e11e),2019-10-23T11:04:43.973615+00:00,011019,,0.28,243.92,0.61,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:31:38.000Z,2019-10-23T11:31:38.000Z,7a452e6d981c10926b53990d03a223c0c9a4d796,,,
ObjectId(5db03a9c620444f3d7c9e11f),2019-10-23T11:06:49.321787+00:00,011019,,0.27,241.34,0.52,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:33:48.000Z,2019-10-23T11:33:48.000Z,65662980214cd4add0f26a10e34df219f078023a,,,
ObjectId(5db03b1e620444f3d7c9e120),2019-10-23T11:08:44.761856+00:00,011019,,5.76,239.22,0.75,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:35:58.000Z,2019-10-23T11:35:58.000Z,3b6f119035a7b19052625874977b36c06946c749,,,
ObjectId(5db03ba0620444f3d7c9e121),2019-10-23T11:10:45.129026+00:00,011019,,5.87,240.32,0.76,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:38:08.000Z,2019-10-23T11:38:08.000Z,60a16f37201f2d8ecc767f3eaaf147d7f0720c48,,,
ObjectId(5db03c22620444f3d7c9e122),2019-10-23T11:14:45.986711+00:00,011019,,6,239.55,0.76,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:40:18.000Z,2019-10-23T11:40:18.000Z,c148f185c1e7afea6e0f7f94bef37d50fab78a01,,,
ObjectId(5db03ca4620444f3d7c9e123),2019-10-23T06:09:57.066924+00:00,011019,,0.23,233.56,0.08,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T11:42:28.000Z,2019-10-23T11:42:28.000Z,1332c8346aa78032e34f132b2e5469321be22a9a,,,
ObjectId(5db0431f620444f3d7c9e124),2019-10-23T11:31:10.039048+00:00,011019,,6.09,239.49,0.77,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:10:07.000Z,2019-10-23T12:10:07.000Z,c61ffe983298ee8973aa5f7d01b0c832f8af177b,,,
ObjectId(5db0433e620444f3d7c9e125),2019-10-23T11:33:10.410070+00:00,011019,,6.13,239.6,0.77,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:10:38.000Z,2019-10-23T12:10:38.000Z,110bd890923557818535e9b15c9fd89c68cbe453,,,
ObjectId(5db043bf620444f3d7c9e126),2019-10-23T11:35:10.905817+00:00,011019,,6.03,238.66,0.76,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:12:47.000Z,2019-10-23T12:12:47.000Z,3e8dbf342b3d129c7f0866b29968b0d2e5b0ca61,,,
ObjectId(5db04441620444f3d7c9e127),2019-10-23T11:37:11.253517+00:00,011019,,0.17,244.6,-0.03,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:14:57.000Z,2019-10-23T12:14:57.000Z,344922e958efdabdf0012e723557ea54a680b470,,,
ObjectId(5db044c2620444f3d7c9e128),2019-10-23T11:39:11.655961+00:00,011019,,0.14,240.96,0.1,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:17:06.000Z,2019-10-23T12:17:06.000Z,f2dc7f013719d8ca86ca1d8d324abf94f05280c6,,,
ObjectId(5db04544620444f3d7c9e129),2019-10-23T11:41:12.098567+00:00,011019,,0.15,239.58,0.02,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:19:16.000Z,2019-10-23T12:19:16.000Z,fd651c085f16a43e79202882b3792d6dadb4adee,,,
ObjectId(5db045c7620444f3d7c9e12a),2019-10-23T11:43:12.503655+00:00,011019,,0.18,242.53,0.14,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:21:27.000Z,2019-10-23T12:21:27.000Z,210e17a8f76c101f5a9294a0f8f0a24037c7fe52,,,
